,ICSA,mort30_m,HPI_NSA,UNRATE,state,state_hpi_nsa,state_hpi_sa
2001-01-31,340000.0,7.0325,145.68,4.2,AK,140.39,141.07
2001-01-31,340000.0,7.0325,145.68,4.2,AL,144.23,144.02
2001-01-31,340000.0,7.0325,145.68,4.2,AR,142.64,142.91
2001-01-31,340000.0,7.0325,145.68,4.2,AZ,157.26,157.47
2001-01-31,340000.0,7.0325,145.68,4.2,CA,127.81,127.76
2001-01-31,340000.0,7.0325,145.68,4.2,CO,222.16,221.93
2001-01-31,340000.0,7.0325,145.68,4.2,CT,119.19,120.18
2001-01-31,340000.0,7.0325,145.68,4.2,DC,137.04,137.07
2001-01-31,340000.0,7.0325,145.68,4.2,DE,123.36,123.48
2001-01-31,340000.0,7.0325,145.68,4.2,FL,142.17,142.14
2001-01-31,340000.0,7.0325,145.68,4.2,GA,152.92,152.83
2001-01-31,340000.0,7.0325,145.68,4.2,HI,95.72,96.06
2001-01-31,340000.0,7.0325,145.68,4.2,IA,159.33,159.36
2001-01-31,340000.0,7.0325,145.68,4.2,ID,155.06,154.99
2001-01-31,340000.0,7.0325,145.68,4.2,IL,147.36,147.9
2001-01-31,340000.0,7.0325,145.68,4.2,IN,143.66,143.63
2001-01-31,340000.0,7.0325,145.68,4.2,KS,155.47,155.9
2001-01-31,340000.0,7.0325,145.68,4.2,KY,150.67,151.54
2001-01-31,340000.0,7.0325,145.68,4.2,LA,159.42,159.25
2001-01-31,340000.0,7.0325,145.68,4.2,MA,160.86,161.8
2001-01-31,340000.0,7.0325,145.68,4.2,MD,124.6,124.67
2001-01-31,340000.0,7.0325,145.68,4.2,ME,135.25,136.87
2001-01-31,340000.0,7.0325,145.68,4.2,MI,174.73,174.8
2001-01-31,340000.0,7.0325,145.68,4.2,MN,175.07,175.91
2001-01-31,340000.0,7.0325,145.68,4.2,MO,150.83,150.94
2001-01-31,340000.0,7.0325,145.68,4.2,MS,141.95,143.11
2001-01-31,340000.0,7.0325,145.68,4.2,MT,183.79,183.79
2001-01-31,340000.0,7.0325,145.68,4.2,NC,147.02,146.83
2001-01-31,340000.0,7.0325,145.68,4.2,ND,142.53,142.96
2001-01-31,340000.0,7.0325,145.68,4.2,NE,162.13,162.38
2001-01-31,340000.0,7.0325,145.68,4.2,NH,147.56,149.56
2001-01-31,340000.0,7.0325,145.68,4.2,NJ,135.07,136.48
2001-01-31,340000.0,7.0325,145.68,4.2,NM,148.45,148.66
2001-01-31,340000.0,7.0325,145.68,4.2,NV,131.0,130.77
2001-01-31,340000.0,7.0325,145.68,4.2,NY,130.26,130.86
2001-01-31,340000.0,7.0325,145.68,4.2,OH,149.13,149.25
2001-01-31,340000.0,7.0325,145.68,4.2,OK,144.63,144.64
2001-01-31,340000.0,7.0325,145.68,4.2,OR,185.59,185.79
2001-01-31,340000.0,7.0325,145.68,4.2,PA,122.62,123.03
2001-01-31,340000.0,7.0325,145.68,4.2,RI,121.37,122.77
2001-01-31,340000.0,7.0325,145.68,4.2,SC,146.27,146.26
2001-01-31,340000.0,7.0325,145.68,4.2,SD,162.22,162.71
2001-01-31,340000.0,7.0325,145.68,4.2,TN,147.6,147.54
2001-01-31,340000.0,7.0325,145.68,4.2,TX,143.85,143.84
2001-01-31,340000.0,7.0325,145.68,4.2,UT,194.84,194.47
2001-01-31,340000.0,7.0325,145.68,4.2,VA,134.02,134.11
2001-01-31,340000.0,7.0325,145.68,4.2,VT,126.89,128.56
2001-01-31,340000.0,7.0325,145.68,4.2,WA,156.68,155.93
2001-01-31,340000.0,7.0325,145.68,4.2,WI,168.28,168.68
2001-01-31,340000.0,7.0325,145.68,4.2,WV,140.46,140.53
2001-01-31,340000.0,7.0325,145.68,4.2,WY,168.51,168.35
2001-02-28,371250.0,7.05,146.58,4.2,AK,140.39,141.07
2001-02-28,371250.0,7.05,146.58,4.2,AL,144.23,144.02
2001-02-28,371250.0,7.05,146.58,4.2,AR,142.64,142.91
2001-02-28,371250.0,7.05,146.58,4.2,AZ,157.26,157.47
2001-02-28,371250.0,7.05,146.58,4.2,CA,127.81,127.76
2001-02-28,371250.0,7.05,146.58,4.2,CO,222.16,221.93
2001-02-28,371250.0,7.05,146.58,4.2,CT,119.19,120.18
2001-02-28,371250.0,7.05,146.58,4.2,DC,137.04,137.07
2001-02-28,371250.0,7.05,146.58,4.2,DE,123.36,123.48
2001-02-28,371250.0,7.05,146.58,4.2,FL,142.17,142.14
